ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
33,Thiruporur,S.S.Balaji,VCK,93954,76.36,North,GEN,Arumugam.K,PMK,92007,1947
34,Cheyyur,Babu M,VCK,82750,77.88,North,SC,Kanitha S,AIADMK,78708,4042
35,Maduranthakam,Maragatham. K,AIADMK,86646,80.65,North,SC,Sathya. C.E,DMK,83076,3570
36,Uthiramerur,SUNDAR K,DMK,93427,80.1,North,GEN,SOMASUNDARAM V,AIADMK,91805,1622
37,Kancheepuram,C.V.M.P. Ezhailzrasan,DMK,102712,73.28,North,GEN,P. Magesh Kumar,PMK,91117,11595
38,Arakonam,S.RAVI,AIADMK,85399,74.89,North,SC,GOWTHAMA SANNAH.J,VCK,58230,27169
39,Sholinghur,A.M.MUNIRATHINAM,INC,110228,80.09,North,GEN,A.M.KRISHNAN,PMK,83530,26698
40,Katpadi,DURAIMURUGAN,DMK,85140,74.0,North,GEN,V RAMU,AIADMK,84394,746
41,Ranipet,R.GANDHI,DMK,103291,77.24,North,GEN,S.M.SUGUMAR,AIADMK,86793,16498
42,Arcot,J.L.Eswarappan,DMK,103885,79.62,North,GEN,Elavazagan.K.L,PMK,83927,19958
43,Vellore,Karthikeyan .P,DMK,84299,70.25,North,GEN,Appu S.R.K,AIADMK,75118,9181
44,Anaikattu,A.P.Nandakumar,DMK,95159,77.05,North,GEN,D.Velazhagan,AIADMK,88799,6360
45,Kilvaithinankuppam,M.JAGAN MOORTHY,AIADMK,84579,76.5,North,SC,K Seetharaman,DMK,73997,10582
46,Gudiyatham,Amulu.V,DMK,100412,72.56,North,SC,Paritha.G,AIADMK,93511,6901
47,Vaniayambadi,G.SENDHIL KUMAR,AIADMK,88018,75.55,North,GEN,N.MOHAMMED NAYEEM,IUML,83114,4904
48,Ambur,VILWANATHAN.A.C,DMK,90476,74.01,North,GEN,NAZAR MOHAMED.K,AIADMK,70244,20232
49,Jolarpet,DEVARAJI.K.,DMK,89490,80.98,North,GEN,VEERAMANI.K.C.,AIADMK,88399,1091
50,Tiruppattur,A. NALLATHAMBI,DMK,96522,76.97,North,GEN,T.K. RAJA,PMK,68282,28240
51,Uthangarai,T.M.TAMILSELVAM,AIADMK,99675,78.37,North,SC,S.Arumugam,INC,71288,28387
52,Bargur,MATHIAZHAGAN D,DMK,97256,79.08,North,GEN,KRISHNAN A,AIADMK,84642,12614
53,Krishnagiri,Ashokkumar.K,AIADMK,96050,78.5,North,GEN,SENGUTTUVAN.T,DMK,95256,794
54,Veppanahalli,K.P.Munusamy,AIADMK,94104,81.31,North,GEN,P.Murugan,DMK,91050,3054
55,Hosur,PRAKAASH Y,DMK,118231,70.09,North,GEN,JYOTHI S,AIADMK,105864,12367
